Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
06/20/22	Cg	yH275	msn2Δmsn4Δ	MO	45 min	2 hr	40 mM	1000	14
06/20/22	Cg	yH275	msn2Δmsn4Δ	MO	45 min	2 hr	60 mM	1000	1
06/20/22	Cg	yH275	msn2Δmsn4Δ	PM	45 min	2 hr	0 mM	1000	566
06/20/22	Cg	yH275	msn2Δmsn4Δ	PO	45 min	2 hr	40 mM	1000	104
06/20/22	Cg	yH275	msn2Δmsn4Δ	PO	45 min	2 hr	60 mM	1000	24
06/16/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	629
06/16/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	49
06/16/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	27
06/16/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	536
06/16/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	123
06/16/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	74
06/16/22	Cg	yH273	msn2Δ	MM	45 min	2 hr	0 mM	1000	590
06/16/22	Cg	yH273	msn2Δ	MO	45 min	2 hr	80 mM	1000	29
06/16/22	Cg	yH273	msn2Δ	MO	45 min	2 hr	100 mM	1000	16
06/16/22	Cg	yH273	msn2Δ	PM	45 min	2 hr	0 mM	1000	598
06/16/22	Cg	yH273	msn2Δ	PO	45 min	2 hr	80 mM	1000	119
06/16/22	Cg	yH273	msn2Δ	PO	45 min	2 hr	100 mM	1000	115
06/16/22	Cg	yH262	msn4Δ	MM	45 min	2 hr	0 mM	1000	572
06/16/22	Cg	yH262	msn4Δ	MO	45 min	2 hr	40 mM	1000	84
06/16/22	Cg	yH262	msn4Δ	MO	45 min	2 hr	60 mM	1000	36
06/16/22	Cg	yH262	msn4Δ	PM	45 min	2 hr	0 mM	1000	494
06/16/22	Cg	yH262	msn4Δ	PO	45 min	2 hr	40 mM	1000	136
