Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,A12,12722,10059,11625,4739.1,44.31,42.8
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,B9,14353,14994,14805,5778.7,36.72,35.02
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,B10,14080,13723,13912,6153.8,42.05,39.24
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,B11,11920,12203,12574,5216.03,40.62,38.64
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,B12,12501,9347,10771,5318.38,51.85,45.46
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,C9,5778,5142,5506,4417.35,73.23,69.27
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,C10,14213,13966,15092,5765.58,39.35,37.55
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,C11,4413,4827,7135,4597.6,76.96,74.7
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,C12,12197,9468,10782,4896.02,47.91,42.23
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,D9,5704,4425,5729,3251.59,64.99,61.43
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,D10,14318,15823,17531,6309.12,38.03,36.88
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,D11,5407,3392,3981,2808.84,70.58,67.66
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,D12,11666,10648,10590,4896.63,43.24,41.7
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,E9,3504,2064,2075,2154.3,80.63,77.49
